,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 Total Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.3 Total Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.4 Total Costs,A.4_Expected Number of Deaths,A.4_Expected Annual Damage,A.5 Total Costs,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,RfR Total Costs,Expected Evacuation Costs
10,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,2,0,0,6,5,8,3,0,3,3,0,6,0,4,90462322.17815001,0.0,0.0,146540405.94313502,0.0032881447247880636,7815444.128068119,68945584.72862397,0.0,0.0,17803345.000196747,0.0,0.0,81105853.85915002,0.0,0.0,492600000.0,250.69354573586944
11,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,4,5,7,0,7,3,4,7,2,1,1,10,4,8,5,2,134576627.39671084,0.0,0.0,208510939.35564178,0.0,0.0,89734451.95909594,0.0,0.0,43720871.89828397,0.00018474202264940758,2288726.242642707,139135332.44827017,0.0,0.0,619900000.0,214.34634925626858
12,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,7,6,1,0,6,3,0,7,0,5,1,10,5,6,1,195559644.92531753,0.0,0.0,132288286.31629013,0.0032053305912726113,7714406.50668932,34221561.73832255,0.0,0.0,43483232.844245195,0.0,0.0,120550622.838325,0.0,0.0,1081800000.0,248.39944175432493
13,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,8,4,8,8,8,1,1,4,8,10,10,4,3,8,138903029.16673058,0.0,0.0,326758504.6575533,0.0,0.0,69530880.80245753,0.0,0.0,80101051.1366488,0.0,0.0,139738361.6860091,0.011636898325856904,10329221.022846406,948600000.0,0.0
14,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,4,8,0,1,4,3,9,7,4,5,6,0,10,7,9,1,119076882.10729173,0.0,0.0,221937904.70211324,0.0,0.0,109301871.02003656,0.0,0.0,37523813.06187063,0.0,0.0,154252360.6860682,0.0,0.0,698400000.0,0.0
15,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,4,9,5,7,8,9,2,1,0,2,10,5,6,9,8,0,267360312.84345895,0.0,0.0,274827666.7696636,0.0,0.0,43224599.14167526,0.0,0.0,56708036.12401371,0.0,0.0,118690351.82955475,0.0,0.0,1112500000.0,0.0
16,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,9,0,1,2,0,5,5,1,6,7,3,1,7,0,5,129503908.60174897,0.0,0.0,107538317.34594075,0.0005038615767870274,1180240.5912077283,91223155.81153396,0.0,0.0,33801522.61574014,0.0,0.0,90595441.88119246,0.0,0.0,1164700000.0,37.68657282669983
17,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,8,2,1,8,7,9,2,1,4,6,6,8,6,9,8,170794802.51155043,0.0,0.0,326169275.3316251,0.0,0.0,73081697.03731254,0.0,0.0,52092913.614555925,0.0,0.0,185474531.0912602,0.0,0.0,974500000.0,0.0
18,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,2,2,1,1,9,10,7,0,5,3,3,1,6,8,9,114498063.14503726,0.0,0.0,273135830.13696086,0.0010786697156429748,2553825.909096834,70656192.99188861,0.0,0.0,25535950.208077375,0.0,0.0,184578252.59735072,0.0,0.0,1033800000.0,81.81927787678916
19,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,2,9,4,3,4,2,0,1,5,1,10,3,9,3,7,8,215464061.7912341,0.0,0.0,102336429.85235605,0.0,0.0,74915058.04785539,0.0,0.0,60295958.31009933,0.0,0.0,164205554.44823897,0.0028874118884810347,17156404.65434999,1299600000.0,1059.0765803795184
20,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,7,1,5,8,5,8,8,10,10,2,2,6,0,6,109503342.08350585,0.0,0.0,247507906.83816773,0.0,0.0,161759937.5958346,0.0,0.0,41617641.01798497,0.0,0.0,104184980.145413,0.002505609808260489,14642165.634446815,581600000.0,891.1578437416229
21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,4,6,9,10,3,9,9,4,9,3,2,3,3,4,4,236613210.02417743,0.0,0.0,305758366.0608311,0.0,0.0,139188043.52310187,0.0,0.0,26562940.128449157,0.0,0.0,114884879.64428867,0.0009046516313356017,5388961.257575925,529200000.0,333.37369840343854
22,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,0,1,5,3,2,5,5,0,6,4,0,5,5,1,10,88511693.9986257,0.0,0.0,165480625.60161948,0.0,0.0,65941184.48239788,0.0,0.0,22356212.824753046,0.0,0.0,143820011.02623165,0.0010787282677329232,6355022.037399667,1043500000.0,389.476310137125
23,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,5,1,2,5,5,0,2,6,1,8,10,1,2,7,0,138224973.7108429,0.0,0.0,129688488.72986558,0.0,0.0,82308580.90047325,0.0,0.0,54352316.12688564,0.0,0.0,79266506.77389437,0.0017533799878518721,4422900.477752184,1426700000.0,167.01505455872126
24,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,2,7,4,0,5,0,8,0,2,2,2,3,7,3,9,174873675.86822036,0.0,0.0,67144716.96170437,0.0032218934179757044,7734614.030965083,66289265.72651896,0.0,0.0,24843241.294171907,0.0,0.0,156917600.89639413,0.0,0.0,991100000.0,248.85826255063392
25,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,4,5,4,3,5,3,3,1,8,4,6,5,3,4,3,8,167798331.6592725,0.0,0.0,178602057.87410635,0.0,0.0,95697521.54615131,0.00029449108934702004,1112659.215252751,38360931.261942774,0.0,0.0,129409140.66316271,0.0,0.0,914500000.0,69.92581164803322
26,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,4,3,4,8,2,2,3,9,5,5,9,0,5,8,10,8,191744677.10089743,0.0,0.0,143928116.98000792,8.397692946450457e-05,590120.2956038641,125671933.25239167,0.0,0.0,33121261.295656584,0.0,0.0,213313132.325326,0.0,0.0,606200000.0,45.34165793212323
27,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,7,5,5,10,6,2,8,1,7,9,2,8,7,0,2,217198541.196981,0.0,0.0,265245450.30840817,0.0,0.0,110149768.52261496,0.0,0.0,51377244.918871015,0.0,0.0,79084435.94406682,0.0,0.0,898900000.0,0.0
28,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,4,2,0,3,5,4,4,0,3,2,9,0,6,8,2,8,82486364.32617709,0.0,0.0,194729524.96807855,0.0,0.0,63657313.57021159,0.003948491427440733,14940445.904107843,35174846.225991,0.0,0.0,152364025.84027588,0.0,0.0,1024800000.0,940.3961356978326
29,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,2,10,1,1,9,10,0,1,6,9,0,9,6,0,1,187904775.2020421,0.0,0.0,273148981.79805535,0.003026248051567603,2566977.5701913354,53873631.77932667,0.0024142975835793334,1102622.6491422695,42694877.954259455,0.0,0.0,70903162.7249229,0.0,0.0,741100000.0,0.0
30,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,2,2,3,5,5,5,0,7,7,3,10,6,4,1,1,5,146332417.8631447,0.0,0.0,129688488.72986558,0.0,0.0,116249574.74914324,0.0,0.0,54594201.10078902,0.0,0.0,106460289.15020797,0.0026690046612033794,16304269.894020088,1006700000.0,1033.2653757433952
31,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,2,1,9,1,4,6,0,8,1,0,1,0,9,6,10,6,166624069.06170735,0.0,0.0,128904282.88717857,0.0,0.0,63844492.59147088,0.0,0.0,25084879.266411718,0.0,0.0,180388781.6587057,0.0,0.0,1126000000.0,0.0
32,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,4,4,1,1,7,3,0,7,0,7,8,3,6,9,4,0,123922014.83441225,0.0,0.0,133844205.0086204,0.0,0.0,77517373.55736606,0.0,0.0,45383863.52386017,0.0,0.0,98276657.88104485,0.0,0.0,931300000.0,0.0
33,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,7,1,1,5,10,6,0,10,8,4,9,3,6,9,2,152281136.071976,0.0,0.0,286468737.9512222,0.0,0.0,111254182.59217924,0.03260397661231236,14864753.646790002,43533038.52735107,0.0,0.0,150902196.47397175,0.0,0.0,369700000.0,0.0
34,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,3,3,10,1,10,8,7,1,10,4,8,0,0,5,3,7,198088902.39533293,0.0,0.0,347492281.497692,0.0,0.0,104234972.60560922,0.0,0.0,16108916.742160894,0.0,0.0,136758132.26687348,0.0008629826141863383,6355022.037399667,1245700000.0,483.86703941741655
35,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,2,6,0,8,1,10,4,4,4,0,4,1,3,6,8,1,154058455.93250468,0.0,0.0,222866906.08797282,0.0007924036446493483,4477358.437828632,56604892.31464201,0.0,0.0,26925089.941019837,0.0,0.0,139637581.15022177,0.0,0.0,1184300000.0,237.7262438437357
36,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,3,6,9,0,8,8,2,0,6,0,0,2,8,2,1,0,165026199.05882242,0.0,0.0,260920804.81464723,0.0,0.0,39850968.83123387,0.002229406913823127,8452171.112522256,26049321.18385661,0.00010806031915672768,1488603.750758136,119583210.05216861,0.008711144821212423,65227445.30463741,1353500000.0,5624.309778772692
37,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,10,7,3,10,10,9,5,4,7,8,4,3,5,2,10,265329366.2663908,0.0,0.0,415012989.911407,0.0,0.0,106337197.36717674,0.0,0.0,41445468.94250385,0.0,0.0,149257841.46955147,0.0008629826141863383,6355022.037399667,492600000.0,483.86703941741655
38,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,4,6,0,0,7,8,4,9,0,10,7,3,1,5,0,10,60717312.84309486,0.0,0.0,264470537.7000501,0.0,0.0,100436499.7544393,0.0,0.0,33801522.61574014,0.0,0.0,118205982.79526007,0.0017259652283726765,12710044.074799335,928200000.0,1129.023091973972
39,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,3,1,7,2,8,10,1,7,7,0,0,1,5,3,3,1,151906735.46309224,0.0,0.0,281518245.66532326,0.0,0.0,77517373.55736606,0.0,0.0,20491754.347070385,0.0002047098041295047,2723952.951733712,110651992.46022907,0.0021577178106032685,16100506.539452553,948600000.0,1471.4448741232907
40,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,4,8,9,4,5,0,7,8,2,10,0,1,10,0,1,0,272567958.4585744,0.0,0.0,146137633.1823734,0.0,0.0,128161069.21248503,0.0,0.0,27551418.423158865,1.1086477966755422e-05,149729.38401447047,66524294.579391964,0.005395398741285711,41487080.493218236,1372800000.0,3861.1561301447646
41,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,2,0,0,4,0,10,10,5,4,8,9,0,0,9,9,7,47847947.961454235,0.0,0.0,246469160.85132402,0.0013217520574443466,7673991.458137801,110482394.19032484,0.0,0.0,18144080.211109996,0.0,0.0,205895970.1338907,0.0,0.0,1249300000.0,410.85845729970924
42,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,2,3,8,4,4,1,0,4,10,9,9,7,8,4,8,3,195925952.32948506,0.0,0.0,97105266.60422453,0.0,0.0,141978983.73517856,0.0,0.0,65018302.87799822,0.0,0.0,144565837.30466363,0.001745534748878536,10329221.022846406,1337900000.0,635.4362981615943
43,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,3,8,2,0,10,5,2,6,0,7,2,7,7,1,4,4,125043551.49815606,0.0,0.0,253538853.41532838,0.0,0.0,73264038.44066289,0.0,0.0,41882524.94451648,0.0,0.0,122571520.43972833,0.003090560550884558,23533652.03139569,946900000.0,1848.9352877712354
44,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,3,7,5,4,10,9,7,0,4,7,6,10,4,4,0,0,208032489.48873264,0.0,0.0,364273784.68546283,0.0,0.0,80387245.01118104,0.003900472448823066,14839522.89435072,54120953.85763059,0.0,0.0,55326069.263850346,0.0029667537691075115,21948952.706653256,1012800000.0,2482.9347467933485
45,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,4,7,9,8,0,5,6,1,6,3,4,5,4,5,0,249179565.09192026,0.0,0.0,159009199.8289076,0.0,0.0,95956663.8169568,0.0,0.0,33180617.80632511,0.0,0.0,76673670.71597262,0.0015133214764847004,1343928.660111631,613800000.0,0.0
46,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,6,0,5,5,1,7,5,4,1,7,6,2,3,7,60717312.84309486,0.0,0.0,183206380.3856222,0.0,0.0,110171654.06620932,0.0,0.0,38295484.75413293,0.0005148976635002032,757660.7882597678,150244316.77975512,0.0420748871195779,37926720.53452988,1128100000.0,0.0
47,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,6,2,2,5,2,7,2,5,1,5,2,2,7,0,5,155038248.26052135,0.0,0.0,202817479.69587022,0.0,0.0,78649856.22610931,0.0,0.0,29018425.440872654,0.0,0.0,90595441.88119246,0.0,0.0,1152700000.0,0.0
48,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,2,10,3,5,6,4,3,2,0,5,2,3,2,7,1,10,237823242.8924073,0.0,0.0,198269928.11725682,0.0,0.0,52967973.44432734,0.0,0.0,25046464.98747097,0.0,0.0,151987557.7008103,0.0,0.0,1471100000.0,0.0
49,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,7,9,4,8,1,1,4,8,8,3,8,6,32694901.094161935,0.0,0.0,278514085.7621266,0.0,0.0,91311506.57453342,0.0,0.0,52230088.49626914,0.0,0.0,143360586.76660886,0.0012482235063046145,1123249.345728516,1473000000.0,0.0
50,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,2,5,1,1,10,6,6,5,6,7,6,3,4,6,0,5,132646089.01706745,0.0,0.0,305007063.4285632,0.0,0.0,115465110.44597763,0.0,0.0,36046598.4426796,0.0,0.0,85142397.97480127,0.0,0.0,1297900000.0,0.0
51,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,3,2,4,0,3,9,0,9,3,8,3,2,8,3,7,5,88429031.37443781,0.0,0.0,147378844.74942005,0.0,0.0,129152484.42807354,0.0,0.0,35618922.051579095,0.0,0.0,135944065.78345302,0.0007237213050684812,5388961.257575925,1182600000.0,414.16779472238954
52,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,2,1,0,0,3,5,3,8,6,0,1,0,4,9,10,6,32694901.094161935,0.0,0.0,176150639.31065077,0.0,0.0,78367018.73996717,0.0,0.0,16669525.483498061,3.140908662574301e-05,322236.6905333766,208089077.15132886,0.0,0.0,1390100000.0,21.440750708317417
53,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,3,9,9,9,7,9,4,4,0,2,9,2,6,5,8,0,356745092.59911287,0.0,0.0,278514085.7621266,0.0,0.0,51760044.33566119,0.0,0.0,46279698.89362045,0.0,0.0,94006162.86541712,0.0,0.0,1474700000.0,0.0
54,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,7,6,4,4,6,4,5,3,0,1,4,1,6,8,0,219012720.1300152,0.0,0.0,203571017.23419994,0.0,0.0,57423135.62296812,0.0,0.0,24590365.191387277,0.0001885964096557204,765970.3035243767,99562157.03396389,0.0,0.0,604300000.0,29.373649165390738
55,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,5,5,0,2,6,3,7,0,5,3,3,6,2,7,4,117818559.7239252,0.0,0.0,178651202.69507685,0.0011163982558677434,2599856.7229275885,70656192.99188861,0.0,0.0,33201096.218706846,0.0,0.0,151577959.95743522,0.012558011520489026,31571698.49713021,881900000.0,1272.3189027281467
56,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,3,2,2,1,9,5,4,0,1,0,3,2,6,8,6,127568368.5380355,0.0,0.0,217000933.41420856,0.0010786697156429748,2553825.909096834,49622725.1402255,0.0,0.0,16711546.932884477,3.276249958229618e-05,148452.2534849615,164025579.19994083,0.0,0.0,1336200000.0,88.04593507117195
57,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,3,6,3,3,4,3,0,6,9,1,2,1,6,3,7,6,169679724.6727088,0.0,0.0,108083458.32956028,0.0,0.0,114680235.46332091,0.0,0.0,28013555.24906633,0.0,0.0,136711771.50693655,0.00014978682075655374,1123249.345728516,1255200000.0,86.83439077097967
58,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,9,5,2,5,3,8,5,6,3,1,4,0,6,1,2,217926643.11492613,0.0,0.0,222347815.0042441,0.0,0.0,100959503.53951824,0.0,0.0,16508407.138231372,0.00010469695541914334,161118.3452666883,105794085.12385008,0.0,0.0,1607900000.0,0.0
59,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,3,7,5,5,10,3,4,9,1,4,3,2,10,7,0,5,217198541.196981,0.0,0.0,249059099.08633763,0.0,0.0,105023344.73408368,0.0,0.0,40676474.90769068,0.0,0.0,90595441.88119246,0.0,0.0,819600000.0,0.0
60,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,4,10,5,0,1,0,7,0,3,6,6,1,6,1,0,1,170633165.41210634,0.0,0.0,119199779.03057063,0.0007262995323762246,5133955.140382671,60029465.13953866,0.00028971571002952,1102622.6491422695,36242968.75925505,0.0,0.0,178071548.15218574,0.016766808626349713,127141576.95164281,958900000.0,12067.151848524296
61,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,6,1,1,2,5,5,0,6,7,7,3,0,2,1,3,142079239.3148653,0.0,0.0,182114592.63570777,0.00025439319139972637,593124.5574618633,78056316.01119465,0.0037553950181603455,4792277.57053176,24956580.074387155,0.0,0.0,137436138.23757216,0.01982589866529443,49509903.95284334,1517400000.0,2000.5300321348084
62,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,3,9,8,0,8,7,2,5,1,1,0,2,9,7,0,6,188504836.94538477,0.0,0.0,248081445.76166874,0.0,0.0,77644475.05391562,0.0,0.0,27910849.85847664,8.862838249126703e-05,1173506.0489390905,95146224.41557565,0.0,0.0,916200000.0,99.51449022204359
63,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,4,5,1,2,6,3,3,0,8,4,0,2,1,1,4,5,138224973.7108429,0.0,0.0,189309949.4694295,0.0,0.0,72928701.3322612,0.00028735208587719863,1097654.9453248645,15253075.26207286,8.698558103506855e-05,1160839.9571573636,125418791.79980966,0.0029383488507029993,22477753.91649825,1080100000.0,2253.5293056408627
64,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,4,4,4,0,4,3,0,6,0,7,9,4,4,6,3,7,102578836.07266891,0.0,0.0,108083458.32956028,0.0,0.0,73264038.44066289,0.0,0.0,46268376.58827089,0.0,0.0,137202819.23217666,0.0,0.0,765700000.0,0.0
65,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,4,9,4,0,7,1,0,9,7,9,7,2,2,10,0,9,150007532.07027638,0.0,0.0,121701716.67461371,0.0,0.0,156432693.6680084,0.0,0.0,33458974.456726406,0.0,0.0,132501124.54156694,0.0,0.0,1018700000.0,0.0
66,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,4,7,5,7,9,1,5,8,0,0,1,5,4,2,1,4,238400207.85263282,0.0,0.0,224876446.44979396,0.0,0.0,37285037.900559425,0.0,0.0,30344614.910405762,5.639896829394549e-05,716113.2119367215,140782608.9905708,0.006608632888431476,49509903.95284334,1353500000.0,4531.463402343934
67,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,9,6,7,0,7,7,9,1,4,1,8,4,3,0,239352618.1720796,0.0,0.0,166071355.5283289,0.0,0.0,120348797.4696912,0.0,0.0,35981071.86414978,0.0,0.0,78423938.78560269,0.0013964277991028284,10329221.022846406,802600000.0,921.0088462765698
68,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,4,7,0,5,7,1,6,1,6,0,8,6,3,6,3,125788764.77143934,0.0,0.0,203375519.163827,0.0,0.0,95956663.8169568,0.0,0.0,34712471.195547126,0.0013739205517124186,2135515.4229086796,121264284.62736513,0.005923090950039826,5299123.922502229,1146000000.0,0.0
69,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,2,7,0,8,1,9,1,7,3,0,6,1,3,7,7,1,164669692.77135092,0.0,0.0,187416828.7236837,0.0004606744470609922,2586705.0618330874,64835987.44502628,0.0,0.0,31013991.49954664,0.0,0.0,140180881.73641115,0.0,0.0,1390100000.0,137.07215150827435
70,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,2,10,5,7,0,6,2,8,0,3,4,0,0,6,4,7,283425657.7815045,0.0,0.0,126242823.19682741,0.0013700603019950268,7815444.128068119,68945584.72862397,0.0,0.0,9695195.36216505,0.0,0.0,142947562.0063744,0.0,0.0,879600000.0,416.19045678806447
71,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,2,3,3,4,6,4,2,9,1,5,8,3,2,0,6,8,147603451.26209262,0.0,0.0,191239251.59600878,0.0,0.0,108374786.31050393,0.0,0.0,37779961.10367436,0.0,0.0,117286498.69464631,0.002867389094076941,17724341.66068243,983500000.0,1141.5825699483523
72,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,5,9,0,8,10,4,3,2,2,2,1,2,8,6,192820580.21435326,0.0,0.0,219270816.5837409,0.0032550190713818844,7775029.079516602,82128181.6907775,0.0,0.0,22403857.762533523,0.0,0.0,135767133.9269859,0.0,0.0,1003100000.0,249.7759041432517
73,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,2,6,0,3,7,4,5,0,4,2,9,7,1,8,9,7,112454988.58836943,0.0,0.0,226798343.32886666,0.0,0.0,52857699.280986056,0.0003591901073464984,1097654.9453248645,48262091.11671945,0.0,0.0,196197479.5189305,0.0,0.0,1164700000.0,48.13736561173558
74,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,2,7,6,7,6,3,9,8,4,10,2,1,1,4,4,5,250418129.4142797,0.0,0.0,246342275.72982264,0.0,0.0,138003519.25219917,0.0,0.0,21083390.673844058,0.0,0.0,120886990.87557021,0.00022699822147270512,1343928.660111631,813700000.0,82.71074488289007
75,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,2,2,1,2,9,9,7,3,6,4,4,4,6,8,1,114498063.14503726,0.0,0.0,269298147.5338319,0.0,0.0,108773550.42496385,0.0,0.0,33470177.152405865,0.0,0.0,139637581.15022177,0.0,0.0,989600000.0,0.0
